Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,219.000000,224.699997,218.649994,222.100006,222.100006,375325
2022-11-10,222.500000,224.500000,218.000000,220.250000,220.250000,109632
2022-11-11,223.000000,223.750000,220.550003,221.850006,221.850006,174479
2022-11-14,222.000000,225.250000,218.300003,223.800003,223.800003,275226
2022-11-15,222.149994,232.050003,222.149994,228.050003,228.050003,394312
2022-11-16,227.199997,228.000000,215.550003,218.500000,218.500000,420419
2022-11-17,219.000000,220.800003,213.500000,219.449997,219.449997,175214
2022-11-18,219.750000,220.000000,216.350006,217.449997,217.449997,168624
2022-11-21,217.000000,222.000000,215.550003,221.600006,221.600006,212265
2022-11-22,223.250000,229.449997,222.149994,224.300003,224.300003,271641
2022-11-23,223.300003,224.699997,218.550003,222.050003,222.050003,308407
2022-11-24,223.850006,223.850006,219.399994,220.449997,220.449997,163786
2022-11-25,219.050003,222.500000,219.050003,220.750000,220.750000,73140
2022-11-28,220.000000,234.899994,219.800003,232.000000,232.000000,1012974
2022-11-29,233.649994,233.649994,227.899994,228.649994,228.649994,205384
2022-11-30,229.750000,229.899994,225.199997,227.449997,227.449997,185407
2022-12-01,228.199997,229.500000,226.199997,227.600006,227.600006,174323
2022-12-02,227.050003,231.949997,227.050003,228.399994,228.399994,153668
2022-12-05,228.699997,234.899994,228.149994,234.149994,234.149994,440242
2022-12-06,235.000000,236.949997,233.000000,235.500000,235.500000,187705
2022-12-07,236.550003,237.550003,226.500000,227.649994,227.649994,255461
2022-12-08,228.850006,229.550003,224.300003,226.949997,226.949997,232035
2022-12-09,227.050003,229.350006,221.199997,223.250000,223.250000,163632
2022-12-12,222.500000,223.649994,220.500000,222.149994,222.149994,203860
2022-12-13,222.800003,224.250000,221.750000,222.600006,222.600006,131025
2022-12-14,223.500000,226.750000,222.750000,224.350006,224.350006,236982
2022-12-15,225.649994,226.000000,222.000000,223.199997,223.199997,147698
2022-12-16,221.050003,222.250000,217.250000,218.050003,218.050003,226396
2022-12-19,218.949997,222.899994,217.100006,221.699997,221.699997,164997
2022-12-20,222.850006,222.850006,218.550003,220.100006,220.100006,142394
2022-12-21,220.649994,222.550003,207.050003,209.649994,209.649994,304090
2022-12-22,212.149994,214.350006,206.100006,208.000000,208.000000,385232
2022-12-23,205.250000,207.250000,191.949997,193.050003,193.050003,220558
2022-12-26,193.250000,206.399994,187.000000,205.000000,205.000000,418017
2022-12-27,208.750000,209.149994,204.500000,207.500000,207.500000,119073
2022-12-28,207.550003,209.699997,205.500000,208.750000,208.750000,158050
2022-12-29,208.500000,208.500000,204.350006,207.750000,207.750000,80770
2022-12-30,209.449997,214.850006,208.050003,212.600006,212.600006,223206
2023-01-02,214.199997,217.350006,211.899994,215.350006,215.350006,104010
2023-01-03,215.350006,218.500000,215.100006,216.649994,216.649994,184959
2023-01-04,216.949997,216.949997,212.250000,213.449997,213.449997,112224
2023-01-05,213.449997,214.500000,210.550003,214.050003,214.050003,164903
2023-01-06,214.449997,214.949997,208.500000,210.100006,210.100006,142786
2023-01-09,211.000000,213.750000,210.000000,211.000000,211.000000,45676
2023-01-10,211.000000,211.699997,206.600006,208.500000,208.500000,108087
2023-01-11,208.550003,211.000000,208.000000,209.850006,209.850006,36493
2023-01-12,210.000000,211.350006,207.199997,208.399994,208.399994,87379
2023-01-13,210.449997,212.550003,206.850006,211.550003,211.550003,168375
2023-01-16,213.699997,216.050003,210.949997,215.399994,215.399994,165662
2023-01-17,216.750000,216.750000,207.850006,211.250000,211.250000,437150
2023-01-18,203.899994,205.399994,198.000000,203.300003,203.300003,327266
2023-01-19,202.500000,203.949997,199.350006,199.899994,199.899994,235216
2023-01-20,199.199997,203.149994,197.500000,201.699997,201.699997,80572
2023-01-23,202.250000,207.149994,200.949997,205.100006,205.100006,130373
2023-01-24,205.199997,211.949997,204.699997,211.449997,211.449997,300946
2023-01-25,210.350006,211.899994,199.000000,200.050003,200.050003,179490
2023-01-27,202.850006,202.850006,186.699997,190.199997,190.199997,213279
2023-01-30,190.649994,195.850006,187.250000,189.100006,189.100006,362394
2023-01-31,191.449997,197.149994,187.800003,196.250000,196.250000,431695
2023-02-01,197.250000,203.199997,192.199997,195.750000,195.750000,138320
2023-02-02,194.949997,197.449997,190.600006,192.000000,192.000000,182654
2023-02-03,191.199997,194.449997,186.600006,190.000000,190.000000,213562
2023-02-06,187.050003,192.649994,187.050003,191.050003,191.050003,444761
2023-02-07,193.899994,193.899994,188.000000,189.300003,189.300003,185496
2023-02-08,190.000000,195.000000,185.500000,193.600006,193.600006,249762
2023-02-09,193.899994,197.899994,190.550003,196.850006,196.850006,263145
2023-02-10,196.800003,206.399994,194.800003,204.199997,204.199997,402357
2023-02-13,203.550003,205.850006,201.100006,204.649994,204.649994,259260
2023-02-14,205.050003,207.600006,201.850006,202.449997,202.449997,146039
2023-02-15,202.100006,204.399994,201.050003,203.699997,203.699997,59989
2023-02-16,202.550003,205.550003,202.050003,204.399994,204.399994,156064
2023-02-17,204.000000,205.449997,201.600006,202.850006,202.850006,80269
2023-02-20,202.350006,203.750000,195.649994,196.050003,196.050003,393325
2023-02-21,197.649994,198.000000,191.449997,192.399994,192.399994,84696
2023-02-22,192.399994,193.800003,188.000000,189.149994,189.149994,169213
2023-02-23,191.600006,191.600006,182.949997,186.949997,186.949997,217421
2023-02-24,187.100006,188.500000,183.000000,184.050003,184.050003,64743
2023-02-27,183.149994,183.949997,179.600006,181.500000,181.500000,155610
2023-02-28,183.449997,188.250000,181.350006,187.800003,187.800003,73695
2023-03-01,186.050003,197.149994,186.050003,195.750000,195.750000,237200
2023-03-02,195.000000,199.000000,194.800003,196.199997,196.199997,72907
2023-03-03,197.600006,198.800003,196.699997,197.449997,197.449997,119599
2023-03-06,197.500000,202.199997,197.300003,197.750000,197.750000,60907
2023-03-08,196.899994,200.050003,193.399994,199.800003,199.800003,150953
2023-03-09,199.000000,205.449997,198.899994,203.100006,203.100006,210849
2023-03-10,202.500000,202.500000,193.399994,195.449997,195.449997,94737
2023-03-13,194.399994,196.449997,187.350006,188.149994,188.149994,149711
2023-03-14,187.850006,190.750000,185.100006,190.000000,190.000000,230246
2023-03-15,192.949997,192.949997,187.000000,188.050003,188.050003,148293
2023-03-16,187.050003,194.250000,184.399994,192.399994,192.399994,193905
2023-03-17,192.949997,200.850006,192.949997,198.899994,198.899994,140489
2023-03-20,196.050003,200.350006,192.149994,194.449997,194.449997,213223
2023-03-21,196.000000,196.699997,192.350006,195.899994,195.899994,69120
2023-03-22,194.250000,197.800003,192.500000,193.300003,193.300003,46214
2023-03-23,193.250000,193.699997,188.050003,188.949997,188.949997,127175
2023-03-24,188.899994,190.949997,184.500000,185.449997,185.449997,114790
2023-03-27,185.149994,186.399994,181.000000,181.500000,181.500000,181478
2023-03-28,181.600006,182.500000,174.949997,175.800003,175.800003,177458
2023-03-29,175.149994,178.600006,173.750000,177.600006,177.600006,1052727
2023-03-31,179.750000,183.399994,178.550003,180.699997,180.699997,86887
2023-04-03,181.550003,188.300003,181.500000,187.899994,187.899994,256347
2023-04-05,188.000000,192.000000,186.600006,190.850006,190.850006,151927
2023-04-06,191.250000,192.449997,189.050003,191.350006,191.350006,108916
2023-04-10,192.000000,195.449997,191.000000,194.800003,194.800003,215951
2023-04-11,194.449997,195.899994,187.500000,189.000000,189.000000,329737
2023-04-12,187.800003,192.449997,187.199997,190.699997,190.699997,496102
2023-04-13,188.000000,191.149994,188.000000,190.250000,190.250000,117944
2023-04-17,190.199997,192.899994,189.899994,191.250000,191.250000,150114
2023-04-18,191.550003,193.750000,191.500000,193.449997,193.449997,68027
2023-04-19,194.899994,194.899994,189.850006,190.399994,190.399994,97584
2023-04-20,190.000000,196.949997,190.000000,193.550003,193.550003,520778
2023-04-21,193.000000,196.000000,192.649994,194.649994,194.649994,148452
2023-04-24,195.000000,199.699997,194.850006,197.000000,197.000000,169793
2023-04-25,195.449997,202.350006,195.449997,198.649994,198.649994,209663
2023-04-26,197.600006,201.050003,197.600006,199.750000,199.750000,109083
2023-04-27,199.750000,201.199997,197.000000,197.649994,197.649994,78216
2023-04-28,199.750000,205.399994,199.250000,204.750000,204.750000,108175
2023-05-02,204.100006,210.250000,204.100006,209.199997,209.199997,278070
2023-05-03,207.199997,214.000000,206.800003,211.949997,211.949997,197020
2023-05-04,209.649994,214.000000,209.649994,213.600006,213.600006,126178
2023-05-05,213.550003,214.350006,208.850006,211.050003,211.050003,106184
2023-05-08,211.199997,214.000000,209.449997,212.699997,212.699997,79209
2023-05-09,210.100006,213.899994,206.600006,207.000000,207.000000,211968
2023-05-10,206.000000,208.250000,204.000000,204.949997,204.949997,83252
2023-05-11,202.050003,211.899994,202.050003,210.449997,210.449997,137075
2023-05-12,211.500000,220.000000,210.949997,217.750000,217.750000,247115
2023-05-15,217.800003,224.949997,217.050003,223.600006,223.600006,525097
2023-05-16,224.000000,230.300003,223.199997,227.199997,227.199997,188225
2023-05-17,227.250000,229.699997,221.699997,226.149994,226.149994,230907
2023-05-18,null,null,null,null,null,null
2023-05-19,223.600006,223.600006,217.100006,219.250000,219.250000,67614
2023-05-22,219.250000,223.600006,217.100006,221.800003,221.800003,70637
2023-05-23,222.850006,237.500000,220.550003,235.850006,235.850006,631421
2023-05-24,234.000000,236.399994,232.449997,233.699997,233.699997,400821
2023-05-25,233.050003,240.449997,232.949997,236.449997,236.449997,573434
