Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,635.000000,637.700012,630.099976,631.299988,628.285400,626576
2022-11-10,635.000000,635.000000,618.599976,620.849976,617.885315,788898
2022-11-11,626.000000,633.650024,625.049988,627.700012,624.702637,979067
2022-11-14,663.950012,684.900024,658.299988,664.650024,661.476196,8854572
2022-11-15,665.000000,672.299988,650.000000,654.700012,651.573730,2112529
2022-11-16,652.000000,655.000000,640.000000,642.650024,639.581238,1364241
2022-11-17,639.000000,649.250000,637.549988,643.849976,640.775513,1211174
2022-11-18,643.000000,646.000000,636.700012,638.799988,635.749634,750739
2022-11-21,639.900024,640.299988,625.299988,627.049988,624.055725,880089
2022-11-22,625.000000,633.799988,624.000000,625.799988,622.811707,996001
2022-11-23,627.000000,629.000000,620.049988,621.200012,618.233704,914416
2022-11-24,623.000000,631.000000,623.000000,624.250000,621.269104,1199253
2022-11-25,627.349976,630.750000,626.700012,627.750000,624.752380,803958
2022-11-28,628.000000,633.250000,627.750000,629.799988,626.792603,823562
2022-11-29,629.000000,643.400024,629.000000,636.799988,633.759155,1571328
2022-11-30,636.000000,639.799988,633.000000,636.299988,633.261536,647345
2022-12-01,638.000000,658.099976,638.000000,650.900024,647.791870,3163335
2022-12-02,648.000000,654.000000,648.000000,651.250000,648.140198,905130
2022-12-05,651.099976,655.000000,649.000000,652.099976,648.986084,800923
2022-12-06,651.000000,658.799988,649.000000,651.700012,648.588013,1233657
2022-12-07,649.750000,657.900024,649.750000,654.150024,651.026367,871091
2022-12-08,655.000000,670.299988,652.900024,662.349976,659.187134,2234602
2022-12-09,665.000000,676.099976,664.000000,671.849976,668.641785,2723169
2022-12-12,672.000000,703.700012,670.099976,697.200012,693.870789,5932237
2022-12-13,700.000000,724.500000,700.000000,718.299988,714.869995,7100398
2022-12-14,724.000000,732.000000,711.900024,724.299988,720.841309,5008176
2022-12-15,728.099976,730.849976,706.000000,708.750000,705.365601,2263539
2022-12-16,701.299988,711.599976,687.049988,688.549988,685.262024,2820832
2022-12-19,689.799988,741.750000,689.750000,734.599976,731.092163,6490103
2022-12-20,738.000000,754.250000,730.049988,739.950012,736.416626,8871743
2022-12-21,742.000000,747.700012,698.000000,701.650024,698.299500,4546599
2022-12-22,705.200012,713.650024,680.000000,681.599976,678.345215,4221417
2022-12-23,679.000000,687.049988,655.099976,658.750000,655.604370,3498066
