Date,Open,High,Low,Close,Adj Close,Volume
2022-11-09,595.200012,614.750000,589.849976,606.900024,602.774292,137042
2022-11-10,605.000000,659.900024,591.099976,642.599976,638.231506,1005225
2022-11-11,652.250000,657.700012,619.150024,624.200012,619.956665,223992
2022-11-14,627.349976,646.849976,611.500000,637.000000,632.669617,204432
2022-11-15,636.000000,648.049988,628.000000,632.700012,628.398865,85675
2022-11-16,632.700012,635.049988,617.500000,626.450012,622.191345,54211
2022-11-17,626.450012,626.450012,612.349976,614.200012,610.024597,50230
2022-11-18,617.250000,620.950012,606.049988,611.599976,607.442261,95899
2022-11-21,608.000000,613.000000,602.549988,605.549988,601.433411,43366
2022-11-22,606.200012,609.950012,600.099976,605.799988,601.681702,80642
2022-11-23,607.000000,618.650024,607.000000,613.000000,608.832764,27048
2022-11-24,616.099976,635.900024,612.700012,619.849976,615.636169,162670
2022-11-25,622.099976,636.000000,616.099976,620.849976,616.629395,87781
2022-11-28,624.000000,642.000000,621.099976,623.500000,619.261414,122964
2022-11-29,623.500000,630.000000,618.000000,619.650024,615.437561,40414
2022-11-30,625.000000,640.000000,620.049988,638.049988,633.712463,82250
2022-12-01,641.049988,647.200012,626.200012,630.200012,625.915833,99534
2022-12-02,630.000000,636.799988,627.799988,629.450012,625.170959,47205
2022-12-05,638.000000,645.000000,631.950012,638.650024,634.308411,83454
2022-12-06,640.900024,677.299988,640.900024,651.150024,646.723450,486659
2022-12-07,654.000000,654.950012,631.000000,636.450012,632.123352,103859
2022-12-08,639.650024,642.000000,634.799988,637.450012,633.116577,40776
2022-12-09,638.000000,639.750000,616.299988,634.349976,630.037598,99930
2022-12-12,630.250000,654.000000,627.799988,641.900024,637.536316,105252
2022-12-13,645.150024,666.250000,637.000000,640.700012,636.344482,166984
2022-12-14,643.799988,651.049988,637.049988,644.900024,640.515930,127949
2022-12-15,643.500000,651.000000,635.000000,637.650024,633.315247,53020
2022-12-16,642.000000,644.349976,631.549988,633.799988,629.491333,43046
2022-12-19,637.000000,637.000000,626.049988,628.900024,624.624695,63273
2022-12-20,627.000000,644.000000,623.049988,640.150024,635.798218,83623
2022-12-21,642.000000,644.000000,608.150024,615.000000,610.819153,96306
2022-12-22,615.349976,619.900024,603.599976,606.549988,602.426636,59428
2022-12-23,603.099976,609.000000,579.150024,583.849976,579.880920,87123
2022-12-26,584.000000,597.950012,577.900024,593.500000,589.465332,31735
2022-12-27,604.000000,608.349976,592.000000,600.650024,596.566772,42971
2022-12-28,602.700012,611.000000,598.250000,604.400024,600.291260,31068
2022-12-29,600.000000,615.000000,597.700012,611.450012,607.293335,29422
2022-12-30,617.549988,637.000000,605.049988,610.250000,606.101440,215774
2023-01-02,616.349976,618.900024,611.000000,615.049988,610.868835,27751
2023-01-03,616.400024,626.200012,616.049988,618.349976,614.146362,46812
2023-01-04,621.450012,624.500000,610.000000,612.299988,608.137512,31695
2023-01-05,615.000000,615.400024,601.000000,604.549988,600.440186,52094
2023-01-06,606.599976,614.900024,601.000000,610.250000,606.101440,74697
2023-01-09,608.049988,615.799988,605.500000,607.900024,603.767456,21117
2023-01-10,609.900024,609.900024,596.500000,598.400024,594.332031,36932
2023-01-11,600.000000,609.000000,595.299988,602.950012,598.851074,39606
2023-01-12,605.000000,608.500000,598.250000,599.950012,595.871521,18973
2023-01-13,600.099976,614.549988,596.049988,609.099976,604.959290,45007
2023-01-16,609.099976,612.000000,605.150024,608.599976,604.462646,23445
2023-01-17,611.650024,611.650024,603.700012,605.900024,601.781067,20674
2023-01-18,603.900024,608.150024,600.500000,603.950012,599.844299,16427
2023-01-19,605.099976,616.000000,601.299988,606.099976,601.979675,87186
2023-01-20,609.150024,611.950012,602.650024,603.549988,599.447021,36251
2023-01-23,606.599976,608.900024,592.200012,597.000000,592.941528,45528
2023-01-24,599.049988,600.000000,588.049988,590.549988,586.535400,61631
2023-01-25,593.549988,595.000000,583.049988,586.900024,582.910217,34687
2023-01-27,588.000000,588.900024,569.599976,576.049988,572.133972,123154
2023-01-30,576.049988,585.250000,576.049988,580.950012,577.000671,66791
2023-01-31,583.500000,587.750000,577.500000,581.200012,577.248962,108398
2023-02-01,580.099976,584.099976,576.049988,578.650024,574.716309,125260
2023-02-02,576.000000,593.000000,573.000000,582.650024,578.689148,67271
2023-02-03,584.750000,584.750000,564.349976,574.000000,570.097900,125784
2023-02-06,573.950012,583.200012,573.950012,579.400024,575.461182,83264
2023-02-07,581.000000,587.500000,574.950012,584.349976,580.377502,111523
2023-02-08,585.349976,591.250000,578.500000,585.250000,581.271423,129455
2023-02-09,589.950012,610.000000,585.549988,588.750000,584.747620,223762
2023-02-10,591.500000,594.000000,581.150024,584.500000,580.526489,71377
2023-02-13,584.000000,586.799988,571.000000,573.500000,569.601318,37884
2023-02-14,573.500000,580.000000,568.000000,573.950012,570.048279,40339
2023-02-15,576.849976,579.599976,569.000000,572.700012,568.806763,15394
2023-02-16,575.599976,581.349976,560.000000,568.700012,564.833923,77924
2023-02-17,571.099976,572.250000,559.000000,562.150024,558.328491,60417
2023-02-20,565.000000,574.349976,554.900024,559.549988,555.746094,82220
2023-02-21,559.549988,568.150024,546.099976,549.700012,545.963074,71762
2023-02-22,543.549988,554.900024,537.000000,540.400024,536.726318,84994
2023-02-23,543.099976,551.000000,537.099976,542.150024,538.464417,44311
2023-02-24,550.299988,551.000000,538.049988,540.250000,536.577332,37006
2023-02-27,540.250000,541.549988,529.500000,532.150024,528.532410,53269
2023-02-28,534.849976,535.450012,510.000000,518.799988,515.273132,222481
2023-03-01,521.000000,533.150024,514.500000,522.450012,518.898376,251338
2023-03-02,527.000000,527.400024,513.000000,518.099976,514.577881,108040
2023-03-03,520.700012,528.000000,511.799988,518.700012,515.173828,136659
2023-03-06,523.799988,530.849976,519.400024,522.799988,519.245972,70979
2023-03-08,527.700012,530.049988,516.750000,519.250000,515.720093,146127
2023-03-09,524.000000,528.200012,518.200012,524.400024,520.835083,155394
2023-03-10,524.400024,524.750000,518.000000,519.599976,516.067688,76074
2023-03-13,522.000000,524.900024,515.250000,517.750000,514.230286,41990
2023-03-14,520.349976,525.000000,513.099976,518.500000,514.975220,32199
2023-03-15,520.049988,524.799988,520.000000,520.200012,516.663635,35576
2023-03-16,520.250000,522.000000,510.950012,512.549988,509.065613,110376
2023-03-17,515.150024,519.900024,511.000000,515.549988,512.045227,51737
2023-03-20,515.099976,517.349976,505.000000,510.549988,507.079224,265557
2023-03-21,511.049988,519.799988,510.649994,515.150024,511.647980,53361
2023-03-22,517.750000,528.400024,513.400024,524.549988,520.984070,49335
2023-03-23,524.549988,530.000000,517.700012,519.299988,515.769714,37451
2023-03-24,519.500000,523.799988,513.200012,517.349976,513.833008,70484
2023-03-27,518.000000,525.950012,510.549988,519.200012,515.670471,65599
2023-03-28,520.000000,520.150024,510.000000,513.500000,510.009186,50516
2023-03-29,515.250000,519.200012,508.000000,514.849976,511.349976,40407
2023-03-31,519.900024,528.400024,515.650024,517.700012,514.180664,84530
2023-04-03,520.299988,538.000000,520.299988,534.049988,530.419495,75010
2023-04-05,535.000000,543.299988,533.650024,540.950012,537.272583,51825
2023-04-06,542.900024,554.500000,537.000000,545.200012,541.493713,67101
